"KEY","dist_to_video_hall"
"uuid:9dc9efd5-ed26-49be-ac6e-dce12218a6d1",91
"uuid:1eabc468-3559-49ab-a45d-3a88de3606cf",18
"uuid:95d6bbac-ea55-421c-a3d9-765e2c41dc15",179
"uuid:32870655-df9e-4c7b-bd41-392c0e1b4e42",39
"uuid:dee4a982-ad2d-49f0-92c7-af0cadda5972",271
"uuid:3fbbd4a4-0f92-4c53-b47a-edfebdab910d",694
"uuid:07928b09-cd6f-43da-a6ed-cb0026e7b9ee",107
"uuid:348b2323-7809-431f-a283-cf8b0e47ded1",19
"uuid:88530be4-bd9d-4102-8c42-166d3f64a4d6",175
"uuid:1274f1f6-78e6-49b1-9320-ca180cf531d7",234
"uuid:d781bce9-b61a-469c-81f4-b788d2d409bf",321
"uuid:39157933-ee14-4fae-9996-048f18e006b4",223
"uuid:dcf438b2-e43c-43c8-8fff-06cb92f2b90b",157
"uuid:dc0e5182-f7dd-4ae0-b666-605b1f357583",155
"uuid:4bf8d5bc-8770-4089-9b7b-41d15fbdc392",26
"uuid:e4f51545-a2fd-4789-97a2-e1e46d85f844",107
"uuid:88287d85-d69e-498a-ba3a-49daab3eb15c",169
"uuid:46033239-675e-4b11-ab4f-bc73f9b667f4",58
"uuid:55a27878-dc15-4fd8-a13c-6e6d8ace8c7b",132
"uuid:521a2d79-1229-47dc-9dd5-db24fd6b27d8",142
"uuid:15dd9c21-6b63-4fe6-bbf0-eb4cb2739977",359
"uuid:fc573b7a-1a70-4a0d-a17a-f1a991625eb3",41
"uuid:33a431aa-4e43-40ff-a189-60fe6709a6ab",32
"uuid:ff4508a3-3c9c-44cb-a2e7-94240abb74d7",26
"uuid:b2e6b563-bb31-482a-895b-436d3b08e997",304
"uuid:9e3a717f-8577-4820-8462-3773ae73c5fb",54
"uuid:63a718d6-3185-4f48-9e73-a76044ab34be",43
"uuid:2580ef4b-2feb-4548-b167-e9afa0e2fa42",203
"uuid:bbc03ea0-9e99-4b10-9c17-bfd9c4daf482",396
"uuid:4e4d7a8d-c1a4-4122-b543-bec8b454b47b",80
"uuid:5e23ac57-f5da-48d6-8f5f-bb55e616a4b2",307
"uuid:9912e91d-a727-4527-8cb3-65cbe35f78c9",145
"uuid:2bb379ba-a4ca-4213-8fe9-fdcedbc3d139",56
"uuid:6c5af6d4-7b3a-486a-b867-141e8125f6b7",125
"uuid:b72e85fa-7ddf-4949-9e6c-bdcee58fbd6b",117
"uuid:440f369e-7ede-46bf-846d-042621a12b74",355
"uuid:16ac6335-594a-4313-af89-68b6e54153f3",27
"uuid:4f25f17c-b0c0-442e-8636-d2680c309104",84
"uuid:8640e5b7-4a3a-4258-b3c0-3f7e75ee651d",87
"uuid:f145b17d-cf22-43b5-833c-5cf3d0855a4c",124
"uuid:8d44b650-44e4-42d0-85f7-625d05128991",391
"uuid:489f03e1-8b92-4971-a915-d80e12993259",154
"uuid:9a08c16d-f15e-41ad-bd5a-b8ddbe50265e",350
"uuid:af7ab674-a56e-4524-b6e9-8adcc9d5afd8",260
"uuid:955f7bf2-d60a-426b-8ccc-483474caf9e0",36
"uuid:a47bda50-b6ac-40ab-be52-343ef93ba3c8",39
"uuid:8d903ffe-da2c-419d-b33d-d44945432b2f",83
"uuid:a4699c8f-dccd-4f88-87d8-d4ce721aac84",402
"uuid:384c0e4e-aef4-4f5c-8baf-51797fec141f",68
"uuid:70e7897d-84aa-4a5b-84d8-89cf8bb7b5bd",96
"uuid:bda412c3-0d1f-416b-bfa4-d18667cdfe88",53
